region,federal_district,body_name,body_type,address,phone,email,website,source_url,notes
город Севастополь,Южный,Департамент общественной безопасности города Севастополя + ГКУ «Центр обеспечения мероприятий гражданской защиты Севастополя»,department,"Департамент: 299011, г. Севастополь, ул. Большая Морская, д. 1; ГКУ ЦГЗ: ул. Сенявина, д. 3",Департамент: +7 (8692) 54-18-43; ГКУ ЦГЗ: +7 (8692) 54-33-97,gkucgz@mail.ru,https://sevastopol.gov.ru,http://sovetbalaclava.ru/zashhita-naseleniya-i-territoriy-ot-chrezvyichaynyih-situatsiy/,"Профильный орган — Департамент общественной безопасности; ему подведомственно ГКУ ЦГЗ, ведущее мероприятия ГО/ЗС ГО."
Республика Дагестан,Северо-Кавказский,"Министерство по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий Республики Дагестан",ministry,"367015, Республика Дагестан, г. Махачкала, ул. М. Ярагского, д. 124 «а»",+7 (8722) 51-61-22,mchs@e-dag.ru,https://mchsrd.ru/,https://mchsrd.ru/contacts,"Отдельное региональное министерство. Подведомственное ГКУ РД «Центр ГО и ЧС», +7 (8722) 67-14-94."
Республика Ингушетия,Северо-Кавказский,Министерство по делам гражданской обороны и чрезвычайным ситуациям Республики Ингушетия,ministry,"386001, Республика Ингушетия, г. Магас, ул. 65 лет Победы, д. 3",+7 (8734) 55-06-92,ri.mchs@yandex.ru,https://mchsri.ru/,https://mchsri.ru/index.php/contacts,Отдельное региональное министерство. Канцелярия +7 (8734) 55-03-29; отдел мероприятий ГО +7 (8734) 55-06-91.
Кабардино-Балкарская Республика,Северо-Кавказский,Главное управление МЧС России по Кабардино-Балкарской Республике,directorate,"360017, Кабардино-Балкарская Республика, г. Нальчик, ул. Чернышевского, д. 19",+7 (8662) 74-38-47,gu@07.mchs.gov.ru,https://07.mchs.gov.ru/,https://07.mchs.gov.ru/glavnoe-upravlenie/sily-i-sredstva/upravlenie-grazhdanskoy-zashchity,Fallback на федеральное ГУ МЧС: отдельное министерство упразднено; полномочия ГО осуществляет Правительство КБР через ГУ МЧС (Закон КБР от 27.07.2020 № 25-РЗ).
Карачаево-Черкесская Республика,Северо-Кавказский,"Управление КЧР по обеспечению мероприятий гражданской обороны, предупреждения и ликвидации ЧС и пожарной безопасности",directorate,"369000, Карачаево-Черкесская Республика, г. Черкесск, ул. Первомайская, д. 34 «А»",+7 (8782) 26-36-45,upravkchrgochs@mail.ru,https://www.gochs09.ru/,https://www.gochs09.ru/kontakty/,"Отдельный региональный орган. Оперативный дежурный +7 (8782) 26-49-89. Подведомственное РГБУ «Центр гражданской защиты», +7 (8782) 26-08-07."
Республика Северная Осетия — Алания,Северо-Кавказский,Комитет Республики Северная Осетия-Алания по делам гражданской обороны и чрезвычайным ситуациям,committee,"362040, Республика Северная Осетия — Алания, г. Владикавказ, ул. Максима Горького, д. 26",,,,https://www.rusprofile.ru/id/1251500001257,"Комитет вновь создан и зарегистрирован 05.03.2025 (ИНН 1500022822); офиц. сайта/телефона/email пока нет; адрес из ЕГРЮЛ. Рабочий контакт — ГКУ «Центр обеспечения деятельности по защите населения...» (rso-gkucenter.ru, (8672) 25-73-39, gu-centr@mail.ru)."
Чеченская Республика,Северо-Кавказский,Комитет Правительства Чеченской Республики по предупреждению и ликвидации последствий чрезвычайных ситуаций,committee,"364024, Чеченская Республика, г. Грозный, ул. Госпитальная, д. 6",+7 (8712) 29-27-24,,,https://companies.rbc.ru/id/1102031001346-komitet-pravitelstva-chechenskoj-respubliki-po-preduprezhdeniyu-i-likvidatsii-posledstvij-chrezvyichajnyih-situatsij/,"Индекс расходится по реестрам (364024/364014/364051). Доп. телефоны: +7 (8712) 33-22-40, +7 (8712) 33-35-81. Офиц. сайт/email не подтверждены."
Ставропольский край,Северо-Кавказский,Главное управление МЧС России по Ставропольскому краю,directorate,"355037, Ставропольский край, г. Ставрополь, ул. 8 Марта, д. 164","+7 (8652) 34-94-05, +7 (8652) 34-94-25",gu.mchs26@26.mchs.gov.ru,https://26.mchs.gov.ru/,https://26.mchs.gov.ru/glavnoe-upravlenie/kontaktnaya-informaciya,Fallback на федеральное ГУ МЧС: краевого органа именно по ГО/ЗС ГО не выявлено. На краевом уровне действует ГКУ «ПАСС СК» (противопожарно-спасательная служба).
Республика Башкортостан,Приволжский,Государственный комитет Республики Башкортостан по чрезвычайным ситуациям,committee,"450008, Республика Башкортостан, г. Уфа, ул. Пушкина, д. 95",+7 (347) 218-11-88,gkchs@bashkortostan.ru,https://gkchs.bashkortostan.ru/,https://gkchs.bashkortostan.ru/,"Республиканский орган по ГО, защите от ЧС и ПБ."
Республика Марий Эл,Приволжский,Комитет гражданской обороны и защиты населения Республики Марий Эл,committee,"424033, Республика Марий Эл, г. Йошкар-Ола, наб. Брюгге, д. 2",+7 (8362) 69-00-13,kgo@mari-el.gov.ru,,https://marieltrud.ru/employer/detail/?companyId=7729f723-85ec-11e8-adb0-000c2973da2c,Региональный орган (в ЕГРЮЛ — форма ГКУ). Отдельного сайта не подтверждено; сведения на порталах Правительства РМЭ.
Республика Мордовия,Приволжский,"Государственный комитет по делам ГО, ЧС и ликвидации последствий стихийных бедствий Республики Мордовия",committee,"430005, Республика Мордовия, г. Саранск, ул. Коммунистическая, д. 33/3",,,,https://www.rusprofile.ru/id/1221300001603,"Республиканский орган (зарег. 2022, ИНН 1300000155). Телефон/email/сайт не подтверждены. Подведомственное — ГКУ РМ «Специальное управление гражданской защиты» (ул. М. Расковой, 2; 8 (8342) 39-19-07)."
Республика Татарстан,Приволжский,Министерство по делам гражданской обороны и чрезвычайным ситуациям Республики Татарстан,ministry,"420088, Республика Татарстан, г. Казань, ул. Академика Губкина, д. 50",+7 (843) 288-46-90,mchsrt@tatar.ru,https://mchs.tatarstan.ru/,https://mchs.tatarstan.ru/kontaktnaya-informatsiya.htm,"Региональное министерство ГОЧС. Размещается по одному адресу с ГУ МЧС по РТ, но это отдельный республиканский орган."
Удмуртская Республика,Приволжский,БУ Удмуртской Республики «Служба гражданской защиты Удмуртской Республики»,gku,"426069, Удмуртская Республика, г. Ижевск, ул. Песочная, д. 17",+7 (3412) 50-45-50,mchsur@udm.ru,,https://www.rusprofile.ru/id/759601,"Бюджетное учреждение, правопреемник упразднённого Министерства по делам ГО и ЧС УР. Реализация госполитики фактически через ГУ МЧС по УР."
Чувашская Республика,Приволжский,Государственный комитет Чувашской Республики по делам гражданской обороны и чрезвычайным ситуациям,committee,"г. Чебоксары, пр. Мира, д. 5",+7 (8352) 55-23-12,gkchs-org@cap.ru,https://gkchs.cap.ru/,https://cheboksary.spravka.city/company/gosudarstvennyj-komitet-chuvashskoj-respubliki-po-delam-grazhdanskoj-oborony-i-chrezvychajnym-situaciyam,Республиканский орган (ИНН 2127305504). Индекс не подтверждён. Доп. email: gkchs-antiterror@cap.ru.
Пермский край,Приволжский,Министерство территориальной безопасности Пермского края,ministry,"614015, Пермский край, г. Пермь, ул. Куйбышева, д. 14",+7 (342) 217-71-56,info@mtb.permkrai.ru,https://mtb.permkrai.ru/,https://companies.rbc.ru/id/1175958014671-ministerstvo-territorialnoj-bezopasnosti-permskogo-kraya/,"Подведомственное — ГКУ ПК «Гражданская защита» (ул. Плеханова, 51в; +7 (342) 236-15-05; info@gkugz.permkrai.ru)."
Кировская область,Приволжский,Управление защиты населения и территорий администрации Правительства Кировской области,directorate,"г. Киров, ул. Защитников Отечества, д. 69","+7 (8332) 76-02-01, +7 (8332) 56-53-51",uz@ako.kirov.ru,,https://www.gosuslugi43.ru/structure/detail.php?ID=77182,Региональный орган по ГО и защите населения. Индекс не указан. Подведомственные: КОГКУ «КОПСС» и УМЦ по ГОЧС и ПБ.
Нижегородская область,Приволжский,Министерство региональной безопасности Нижегородской области,ministry,"603134, Нижегородская область, г. Нижний Новгород, ул. Костина, д. 2",+7 (831) 434-27-90,,https://drb.nobl.ru/,https://nobl.ru/organy-ispolnitelnoj-vlasti-nizhegorodskoj-oblasti/ministerstvo-regionalnoj-bezopasnosti-nizhegorodskoj-oblasti,"Профильный региональный орган. Подведомственное — ГКУ НО «Управление по делам ГО, ЧС и ПБ» (ул. Фруктовая, 6; +7 (831) 431-78-76)."
Оренбургская область,Приволжский,Департамент пожарной безопасности и гражданской защиты Оренбургской области,department,"460024, Оренбургская область, г. Оренбург, ул. Аксакова, д. 1",+7 (3532) 78-03-04,gochs@mail.orb.ru,https://gochs.orb.ru/,https://gochs.orb.ru/about/contacts/,"Подведомственное — ГКУ «Центр по обеспечению мероприятий ГО и ЧС» (ул. Цвиллинга, 41; +7 (3532) 30-54-22; centrgoichs@mail.ru)."
Пензенская область,Приволжский,Главное управление МЧС России по Пензенской области,directorate,"440008, Пензенская область, г. Пенза, ул. Дзержинского, д. 5",+7 (8412) 68-13-45,gu@58.mchs.gov.ru,https://58.mchs.gov.ru/,https://58.mchs.gov.ru/kontakty,Fallback на федеральное ГУ МЧС: региональный орган по ГО/ЗС ГО не подтверждён. Муниципальный уровень — МКУ «Управление по делам ГОЧС г. Пензы».
Самарская область,Приволжский,"ГКУ Самарской области «Центр по делам гражданской обороны, пожарной безопасности и чрезвычайным ситуациям»",gku,"443010, Самарская область, г. Самара, ул. Красноармейская, д. 12",+7 (846) 332-04-04,,https://spasenie112.ru/,https://spasenie112.ru/company/requisites/,Профильное региональное ГКУ (ИНН 6315700776). Телефон — оперативного дежурного. Email не подтверждён.
Саратовская область,Приволжский,Управление региональной безопасности Правительства Саратовской области,directorate,"410012, Саратовская область, г. Саратов, ул. им. Н.В. Гоголя, д. 87",+7 (8452) 65-96-81,,http://obz.saratov.gov.ru/,https://minfin.saratov.gov.ru/budget/pasporta/pasporta-vedomstv/vedomstva/upravlenie-obespecheniya-bezopasnosti-zhiznedeyatelnosti-naseleniya,"Уполномоченный орган по ГО, защите от ЧС и ПБ (в 2024 переименован из «управления обеспечения безопасности жизнедеятельности населения»). Email на портале скрыт."
Ульяновская область,Приволжский,ОГКУ «Служба гражданской защиты и пожарной безопасности Ульяновской области»,gku,"432071, Ульяновская область, г. Ульяновск, ул. Средний Венец, д. 27",+7 (8422) 44-34-41,SLGOPB@mail.ru,,https://ulgov.ru/page/index/permlink/id/15400/,Региональное ОГКУ (ИНН 7325050590). Отдельного сайта нет; сведения на ulgov.ru и 73.mchs.gov.ru.
Курганская область,Уральский,Управление защиты населения от ЧС и обеспечения пожарной безопасности Курганской области,directorate,"640020, г. Курган, ул. Томина, д. 34",+7 (3522) 42-83-16,urtzn@kurganobl.ru,http://www.urtzn.kurganobl.ru/,http://www.urtzn.kurganobl.ru/800.html,"Подведомственно областному Департаменту гражданской защиты, охраны окружающей среды и природных ресурсов."
Свердловская область,Уральский,Министерство общественной безопасности Свердловской области,ministry,"620075, г. Екатеринбург, ул. Пушкина, д. 11 (почт.: 620000, ул. Карла Либкнехта, д. 8а, лит. Д)","+7 (343) 312-00-22, доб. 07",security@egov66.ru,https://security.midural.ru/,https://security.midural.ru/about/contacts/,"Профильный региональный орган по ГО, защите населения и безопасности."
Тюменская область,Уральский,Департамент гражданской защиты и пожарной безопасности Тюменской области,department,"625048, г. Тюмень, ул. Малыгина, д. 48",+7 (3452) 42-73-50,GZIPB@72to.ru,https://security.admtyumen.ru/,https://www.catalogfactory.org/cli/1197232012394,Офиц. сайт — на портале органов госвласти региона. Адрес/телефон подтверждены по ЕГРЮЛ/картам.
Ханты-Мансийский автономный округ — Югра,Уральский,Департамент гражданской защиты населения Ханты-Мансийского автономного округа – Югры,department,"г. Ханты-Мансийск, ул. Студенческая, д. 2",+7 (3467) 36-01-55,,http://depgzn.admhmao.ru/,https://www.garant.ru/hotlaw/hant/831287/,Исполнительный орган округа (Пост. Правительства ХМАО–Югры от 29.07.2016 № 280-п). Email не подтверждён; сайт при проверке был недоступен.
Челябинская область,Уральский,Министерство общественной безопасности Челябинской области,ministry,"454091, г. Челябинск, пл. Революции, д. 4",+7 (351) 263-52-01,info@mob.gov74.ru,https://minob.gov74.ru/,https://minob.gov74.ru/,Профильный региональный орган. Отдельную страницу контактов подтвердить прямым запросом не удалось.
Ямало-Ненецкий автономный округ,Уральский,Департамент гражданской защиты и пожарной безопасности Ямало-Ненецкого автономного округа,department,"629003, г. Салехард, ул. Чапаева, д. 8",+7 (34922) 6-70-30,dgzp@yanao.ru,http://dgzp.yanao.ru/,https://do.gosuslugi.ru/orgs/8900000010000003430/,Центральный исполнительный орган округа (Пост. Правительства ЯНАО от 20.12.2011 № 939-П).
